S_No,Year_of_Release,Variety_Name,Common_Name,Notification_No,Type,Maturity,Cane_Yield_t_ha,Sucrose_Percent,CCS_Percent,CCS_Yield_t_ha,Red_Rot_Resistance,Smut_Resistance,Drought_Tolerance,Salinity_Tolerance,Waterlogging_Tolerance,Ratooning_Ability,Recommended_States,Zone,Special_Features,Planting_Season
1,2025,CoS 17231,Bismil,S.O. 6123(E),Early maturity variety,Early,,,,,Moderately Resistant,,,,,,"Punjab, Haryana, Rajasthan, Central and western Uttar Pradesh and Uttarakhand",North West Zone,,
21,2023,CoA 17321,,S.O. 4222 (E),,Mid-late,114.37,16.93,,13.44,Resistant,,,,,,,"Andhra Pradesh",,,
22,2023,Co 18009,,S.O. 4222 (E),,Mid-late,,,,,,,,,,,,"Tamil Nadu",,Golden yellow jaggery quality,
23,2023,CoP 11438,Rajendra Ganna-5,S.O. 4222 (E),,Mid-late,78.20,17.37,,9.46,Moderately Resistant to Moderately Susceptible,,,,,,,"U.P., Bihar, W.B. & Assam",North Central Zone,Less susceptible to major insect-pests,
24,2023,CoLK 16466,Ikshu-15,S.O. 4222 (E),,Mid-late,85.35,17.33,,10.27,Resistant,,,,,,,"U.P., Bihar, W.B. & Assam",North Central Zone,Less susceptible to major insect-pests,
25,2023,CoLK 15206,Ikshu-14,S.O. 4222 (E),,Mid-late,89.81,18.42,,11.64,Resistant,,,,,,,"Punjab, Haryana, Rajasthan, Central and Western U.P. & Uttarakhand",North West Zone,Less susceptible to major insect-pests,
26,2023,CoLK 14201,Ikshu-10,S.O. 4222 (E),,Mid-late,91.65,18.11,,11.43,Moderately Resistant to Resistant,,,,,,,"Punjab, Haryana, Rajasthan, Central and Western U.P. & Uttarakhand",North West Zone,,
27,2023,Co 16030,Karan 16,S.O. 4222 (E),,Mid-late,94.97,17.90,,11.96,Moderately Resistant to Resistant,,,,,,,"Haryana, Punjab, Rajasthan, Uttarakhand, Central and Western U.P.",North West Zone,,
28,2023,MS 14082,,S.O. 4222 (E),,Mid-late,128.60,19.47,,17.58,Moderately Susceptible,,,,,,,"Andhra Pradesh, Telangana, Kerala, T.N., Karnataka, Gujarat, Maharashtra & M.P.",Peninsular Zone,Less susceptible to major insect-pests,
29,2023,Co 14005,,S.O. 4222 (E),,Mid-late,118.77,20.15,,16.61,Resistant,Resistant,,,,,"T.N., Andhra Pradesh, Telangana, Kerala, Karnataka, Gujarat, Maharashtra & M.P.",Peninsular Zone,Less susceptible to Moderately Susceptible to insect-pests,
30,2023,Co 11015,,S.O. 4222 (E),,Mid-late,109.29,21.29,,16.32,Resistant,Resistant,,,,,,"Andhra Pradesh, Telangana, Kerala, T.N., Karnataka, Gujarat, Maharashtra & M.P.",Peninsular Zone,,
31,2023,CoM 11082,Phule 11082,S.O. 1056(E),Early maturing,Early,98.91 (Spring)/118.34 (Preseason),,,,,Moderately Resistant,,,,,,"Maharashtra",,High cane and sugar yielding,Spring/Preseason
32,2022,UP 14234,,State Varietal Release Committee,Mid late,Mid-late,,,,,Moderately Resistant,,,,,,Uttar Pradesh,,For usar conditions,
33,2022,CoS 17231,,State Varietal Release Committee,Early,Early,,,,,Moderately Resistant,,,,,Good,Uttar Pradesh,,Low incidence of borers,
34,2022,CoLK 14204,IKSHU-8,S.O. 8(E),Mid-late maturing,Mid-late,92.73,,,,,Moderately Resistant,,,,,,,"Punjab, Haryana, Uttarakhand, Rajasthan, Central and Western Part of Uttar Pradesh",North West Zone,,
35,2022,CoPb 14185,CoPb 98,S.O. 8(E),,Mid-late,104,,,,,Tolerant,,,,,Good,"Punjab, Haryana, Rajasthan, Uttarakhand and Western and Central Uttar Pradesh",North West Zone,Tall thick cylindrical yellowish green,
36,2022,MS 13081,Phule 10001,S.O. 8(E),Early maturing,Early,118.51,19.78,,16.84,Moderately Resistant,,,,,,,"Maharashtra, Gujarat, Karnataka, Tamil Nadu, Andhra Pradesh, Madhya Pradesh, Kerala and Chhattisgarh",Peninsular Zone,,
37,2022,CoP 09437,Rajendra Ganna 2,S.O. 8(E),Mid-late maturing,Mid-late,98.5,,,,,,,,,,,,"Uttar Pradesh, Bihar, Assam and West Bengal",North Central Zone,,
38,2022,CoVC 16061,,S.O. 8(E),Early Maturing,Early,60-65 t/acre,,,,,,,Yes,,Good,"Karnataka",,Good for Jaggery making,
39,2021,CoPb 96,,S.O. 8(E),Early maturing,Early,94,,,,,Tolerant,,,,,,Punjab,North West Zone,,
40,2021,CoPb 95,,S.O. 8(E),,Mid-late,104,,,,,Resistant,Moderately Resistant,,,Yes,Good,Punjab,North West Zone,Less susceptible to top borer/frost tolerant,
41,2022,Kalinga Sugarcane 346,,S.O. 8(E),,,,,,,,,,,,,,Odisha,,,
42,2022,CoVC 16062,,S.O. 8(E),,Mid-late,70-80 t/acre,,,,,,,Yes,,,,"Karnataka",,Good for Jaggery,
43,2022,CoM 12085,Phule 09057,S.O. 8(E),Midlate,Mid-late,130,,,,,,,,,,,Maharashtra,,High sugar/high yield/good quality jaggery,Suru season
44,2022,Co 14012,AVANI,S.O. 4065(E),,Mid-late,,,,,Resistant,,,,,,,"Tamil Nadu, Kerala, Interior Andhra Pradesh, Telangana, Karnataka, Gujarat, Maharashtra and Madhya Pradesh",Peninsular Zone,High sugar content,
45,2022,CoLk 15201,Ikshu11,S.O. 4065(E),,Mid-late,93.92,17.64,,11.44,Moderately Resistant to Resistant,,,,,,,"Punjab, Haryana, Uttarakhand, Rajasthan, Central and Western Parts of Uttar Pradesh",North West Zone,Less susceptible to major insect-pests,
46,2022,CoLk 15466,Ikshu13,S.O. 4065(E),,Mid-late,85.97,17.54,,10.41,Moderately Resistant to Resistant,,,,,,,"Eastern Part of Uttar Pradesh, Bihar, Jharkhand, West Bengal and Assam",North Central Zone,Less susceptible to major insect-pests,
47,2022,CoLk 15207,Ikshu12,S.O. 4065(E),,Mid-late,84.53,18.71,,10.97,Moderately Resistant to Resistant,,,,,,,"Punjab, Haryana, Uttarakhand, Rajasthan, Central and Western Parts of Uttar Pradesh",North West Zone,Less susceptible to major insect-pests,
48,2021,Co 15023,Karan 15,S.O. 500(E),,Mid-late,76.5,,,,,Tolerant,,,,,,,"Uttar Pradesh (central and western), Uttarakhand, Haryana, Punjab, Rajasthan and Delhi",North West Zone,,
49,2021,Co 13013,AKSHAYA,S.O. 500(E),Mid-late maturing,Mid-late,121.96,19.01,,14.75,Moderately Resistant,,,,,,,"Tamil Nadu, Kerala, Interior Andhra Pradesh, Telangana, Karnataka, Gujarat, Maharashtra and Madhya Pradesh",Peninsular Zone,,
50,2021,CoN 13072,Navya (GNS-11),S.O. 500(E),Early maturing,Early,,,,,,,,,,,,"Gujarat",,,
51,2020,CoC 13339,,S.O.3482(E),Mid-late variety,Mid-late,,,,,Moderately Resistant,,,,,,,"Tamil Nadu, Andhra Pradesh and Odisha (Coastal areas)",East Coast Zone,,
52,2020,Co 13035,Karan 14,S.O.3482(E),Mid-late group variety,Mid-late,,,,,,,,,Yes,,,"Haryana, Rajasthan, Punjab, Uttarakhand and Central and Western Uttar Pradesh",North West Zone,Tolerant to winter stress,
53,2020,CoS 12232,Sahaj-3,S.O.3482(E),Early Maturing,Early,,,,,,,,,Yes,Good,"Punjab, Haryana, Uttarakhand, Rajasthan and Central and Western Uttar Pradesh",North West Zone,High Sugar Content,
54,2020,Co 12009,Sankalp,S.O.3482(E),,Mid-late,,,,,,,Yes,,,,"Tamil Nadu, Kerala, Interior Andhra Pradesh, Telangana, Karnataka, Gujarat, Maharashtra, Madhya Pradesh and Chhattisgarh",Peninsular Zone,High yielding under optimal and suboptimal conditions,
55,2020,CoA 14321,Vasista/Pampavathi (2009A 107),S.O.3482(E),,Mid-late,,,,,Moderately Resistant,,,,,Good,"Andhra Pradesh",,,
56,2020,CoA 14323,Arundhati/Naveen (2009 A 252),S.O.3482(E),Midlate duration,Mid-late (11 months),,,,,,,,,,,,"Andhra Pradesh",,,
57,2020,CoP16437,Rajendra Ganna-1 (CoX 08139),S.O.3482(E),,Mid-late,,,,,Resistant,Moderately Resistant,Yes,,Yes,,Bihar,,Can grow in moisture stress,
58,2020,Co 11015,Atulya,S.O. 99(E),,Mid-late,109.29,21.29,,16.32,Resistant,Resistant,,,,,,"Tamil Nadu",Peninsular Zone,,
59,2019,CoS 13235,,State Varietal Release Committee,Early maturing,Early,,,,,,,,,,,Uttar Pradesh,,,
60,2019,CoT 10367,Swarnamukhi (2005T16),S.O. 3220(E),,Mid-late,,,,,Moderately Resistant,Resistant,,,,,Good,"Andhra Pradesh",,Good quality jaggery,
61,2019,Co V 15-356,Ranga (2009 V 127),S.O. 3220(E),,Early,120-130,19.5-20,,17.5,Resistant,,,Yes,Yes,Good,"Andhra Pradesh",,Suitable for saline irrigation water,
62,2019,VSI 08005,VSI 12121,S.O. 3220(E),,Mid-late,,,,,,,,,,,Maharashtra,,,
63,2019,Co 10026,Uphar,S.O. 1498(E),Early maturing variety,Early,,,,,,,,,,,,"Gujarat, Maharashtra, Kerala, Karnataka, Interior of Tamil Nadu and Andhra Pradesh Madhya Pradesh and Chhattisgarh",Peninsular Zone,,
64,2019,Co 12029,Karan 13,S.O. 1498(E),Midlate variety,Mid-late,,,,,,,,,,,,"Punjab, Haryana, Rajasthan, Uttar Pradesh and Uttarakhand",North West Zone,,
65,2019,CoLk 12207,Ikshu-6,S.O. 3220(E)/S.O. 1498(E),Early,Early,75.42,,,,,Moderately Resistant,,,,,,,"Uttar Pradesh, Bihar, West Bengal, Jharkhand and Assam",North Central Zone,Light yellowish green color,
66,2019,CoLk 12209,Ikshu-7,S.O. 3220(E)/S.O. 1498(E),Midlate,Mid-late,77.52,,,,,Moderately Resistant,,,,,,,"Uttar Pradesh, Bihar, West Bengal, Jharkhand and Assam",North Central Zone,,
67,2018,CoVC 99463,,S.O. 1379(E),,Mid-late,70-80 t/acre,,,,,,,Yes,,Good,"Karnataka",,Suitable for wide row planting/good for jaggery,
68,2018,CoLK 09204,Ikshu-3,S.O. 1379(E),Midlate and high cane yield,Mid-late,82.8,,,,,Moderately to Highly Resistant,,,,,Excellent,"Punjab, Haryana, Uttarakhand, Rajasthan and Central and Western parts of Uttar Pradesh",North West Zone,,
69,2018,CoVSI 03102,,S.O. 399(E),Midlate,Mid-late,,,,,Moderately Resistant,Resistant,,,,,Maharashtra,,Suitable for high rainfall zone,
70,2018,CoC 25,,S.O. 399(E),Early maturing,Early,,,,,Resistant,,,,,,,"Tamil Nadu",,High-yielding,
71,2017,Co 09004,Amritha,S.O. 2805 (E),Early,Early,109.85,18.94,,,Moderately Resistant,Resistant,Yes,Yes,,,"Gujarat, MS, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,,
72,2017,CoA 05323,Revathi (2000 A 225),S.O. 1007 (E),,Mid-late,,,,,Moderately Resistant,Moderately Susceptible,Yes,,,Good,"Gujarat, MS, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,Non-lodging canes,
73,2017,CoA 08323,Buddhi (2003 A 255),S.O. 1007 (E),Early variety,Early,106.30,16.41,,,Resistant,Highly Susceptible,,,,,"Gujarat, MS, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,,
74,2017,Co 09022,Karan 12,S.O. 2805 (E),Mid-late variety,Mid-late,83.56,17.49,,,Moderately Resistant,,,,,Yes,"Punjab, Haryana, Rajasthan, Central & Western U.P. and UK",North West Zone,Suitable for water logging,
75,2017,CoN 09072,GNS-9 (2004 N 817),S.O. 2805 (E),Early maturity variety,Early,129,18,,,Moderately Resistant,Moderately Resistant,,,,,Gujarat,,Non lodging,
76,2017,CoSnk 03632,SNK-632,S.O. 2805 (E),,Mid-late,,,,,,,Yes,,,,Karnataka,,Normal irrigated and moisture stress prone,
77,2016,CoN 05071,Gujarat Sugarcane-5,S.O. 3540 (E),Early maturity variety,Early,152,18.76,,,Moderately Resistant,,,,,,"Gujarat, MS, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,Tolerant to shoot borer & top borer,
78,2016,CoN 05072,Gujarat Sugarcane-6,S.O. 3540 (E),Mid-late maturity variety,Mid-late,143,17.78,,,,,,,,,,Gujarat,,,
79,2016,CoN 03131,Gujarat Sugarcane-4,S.O. 3540 (E),Early maturity variety,Early,147,18.50,,,,,,,,,,Gujarat,,,
80,2016,CoN 04131,Gujarat Sugarcane-7,S.O. 3540 (E),,Mid-late,135,18.13,,,Moderately Resistant,Less Susceptible,,,,,Gujarat,,,
81,2016,CoN 07072,Gujarat Sugarcane-8,S.O. 3540 (E),,Mid-late,136,18.50,,,Moderately Resistant,Less Susceptible,,,,,Gujarat,,,
82,2016,CoPb 09181,CoPb 91,S.O. 3540 (E),,Mid-late,102,17,,,Tolerant,,,,,Good,Punjab,North West Zone,,
83,2015,Co Or 04152,Rashunath,S.O1556 (E),Mid-late variety,Mid-late,,,,,,,,,,,Odisha,,,
84,2015,Co Or 05346,Neelchakra,S.O. 1556 (E),Early variety,Early,,,,,,,,,,,Odisha,,,
85,2015,CoP 06436,CoP 2061,S.O. 268 (E),Mid-late maturity variety,Mid-late,74.25,17.35,,,Moderately Resistant,Moderately Resistant,,,,Good,"Eastern U.P., Bihar, W.B., Jharkhand",North Central Zone,Tolerant to lodging,
86,2014,Co Snk 05103,Sankeshwar 049,S.O. 1919 (E),Early maturity variety,Early,105.50,17.21,,,Moderately Resistant,Moderately Resistant,Yes,,,,Excellent,"Gujarat, Maharashtra, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,Resistant to sugarcane wooly aphid,
87,2014,Co Snk 05104,Surkeshwar 814,S.O. 1919 (E),Mid-late maturity variety,Mid-late,106.86,17.52,,,Moderately Resistant,Moderately Resistant,Yes,Yes,Yes,,"Gujarat, Maharashtra, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,Tolerant to sugarcane wooly aphid,
88,2013,Co 06027,,S.O. 2817 (E),Mid-late maturity variety,Mid-late,110.56,19.18,,,Moderately Resistant,,Yes,Yes,,,"Gujarat, Maharashtra, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,,
89,2013,Co 06030,,S.O. 2817 (E),Mid-late maturity variety,Mid-late,103.33,16.60,,,Moderately Resistant,,,,,,,"Coastal TN & AP and Odisha",East Coast Zone,,
90,2013,CoVSI-9805,,S.O. 312 (E)/314(E),Mid-late,Mid-late,,,,,Moderately Resistant,Moderately Resistant,,,,,Good,Maharashtra,,Erect growing/high yield/high sugar,
91,2013,CoPK 05191,Pratap Ganna 1,S.O. 312 (E)/314(E),Early maturity variety,Early,81.12,17.06,,,Moderately Resistant,,Yes,,Yes,Good,"Punjab, Haryana, Rajasthan, Central & Western U.P. and UK",North West Zone,,
92,2013,Co 05009,,S.O. 2817 (E),Early maturity variety,Early,75.89,17.44,,,Moderately Resistant,,,,,,"Punjab, Haryana, Rajasthan, Central & Western U.P. and UK",North West Zone,Tolerant to water logging and low temperature,
93,2013,CoSe 01421,Imarti,S.O. 2817 (E),Early maturity variety,Early,65.87,17.36,,,Moderately Resistant,Moderately Resistant,,,,,Good,"Eastern U.P., Bihar, W.B., Jharkhand",North Central Zone,,
94,2012,Co 0403,Samriddhi,S.O. 2125 (E),Early maturity variety,Early,101.6,18.16,,,Moderately Resistant,Resistant,Yes,Yes,,Good,"Gujarat, Maharashtra, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,Good jaggery quality,
95,2012,CoH 128,,S.O. 456 (E),Mid-late maturity variety,Mid-late,76.23,17.70,,,Moderately Resistant,,,,,,,"Punjab, Haryana, Rajasthan, Central & Western U.P. and UK",North West Zone,Tolerant to top & early shoot borers,
96,2012,Co 0237,Karan 8,S.O. 2125 (E),Early maturity variety,Early,71.33,18.78,,,Moderately Resistant,,,,,Yes,Good,"Punjab, Haryana, Rajasthan, Central & Western U.P. and UK",North West Zone,Tolerant to water logging,
97,2012,Co 05011,Karan 9,S.O. 1708 (E),Mid-late maturity variety,Mid-late,82.47,18,,,Moderately Resistant,Moderately Resistant,,,,,,"Punjab, Haryana, Rajasthan, Central & Western U.P. and UK",North West Zone,Suitable for harvesting in winter,
98,2011,CoOr 03151,Sabita,S.O. 2326 (E),Early maturity variety,Early,105.28,15.53,,,Moderately Resistant,Moderately Resistant,Yes,,Yes,,"Gujarat, Maharashtra, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,Tolerant to borers and scale insect,
99,2010,Co 0218,Shreyas,S.O. 2137 (E),Mid-late maturity variety,Mid-late,103.77,20.79,,,Moderately Resistant,Resistant,Yes,Yes,,Good,"Gujarat, Maharashtra, KN, Kerala, Interior of TN & AP, MP & CG",Peninsular Zone,Good jaggery quality,
100,2010,Co 124,Karan 5,S.O. 2137 (E),Mid-late maturity variety,Mid-late,75.71,18.22,,,Moderately Resistant,,,,,,"Punjab, Haryana, Rajasthan, Central & Western U.P. and UK",North West Zone,Tolerant to water stress & water logging,
101,2010,Co 0239,Karan 6,S.O. 2137 (E),Early maturity variety,Early,79.23,18.58,,,Moderately Resistant,,,,,,"Punjab, Haryana, Rajasthan, Central & Western U.P. and UK",North West Zone,Tolerant to water stress & water logging,
102,2010,SNK-004,,S.O. 733 (E),,Mid-late,,,,,Resistant,Moderately Resistant,,,,,Karnataka,,,
103,2009,Co 0118,KARAN2,S.O.449(E),,Mid-late,,,,,Moderately Resistant,,Yes,,,Good,"Haryana, Punjab, Western and Central Uttar Pradesh, Uttarakhand and Rajasthan",North West Zone,,
104,2000,Co 8371,Bhima,2000,Midlate,Mid-late (12 months),117.7,18.6,,,Moderately Susceptible,Resistant,Yes,,Yes,,Peninsular Zone,,Tolerant to water logging,Nov-Jan
105,2000,Co 85004,Prabha,2000,Early,Early (10 months),90.5,19.5,,,Moderately Susceptible,Resistant,,,,,Good,Peninsular Zone,,,Nov-Jan
106,2000,Co 86032,Nayana,2000,Midlate,Mid-late (12 months),102.0,20.1,,,Resistant,Resistant,Yes,,,,Good,Peninsular Zone,,,Nov-Jan
107,2000,Co 86249,Bhavani,2000,Midlate,Mid-late (12 months),104.2,18.7,,,Resistant,Resistant,,,,,Good,East Coast Zone,,,Nov-Jan
108,2000,Co 87025,Kalyani,2000,Midlate,Mid-late (12 months),98.2,18.3,,,Resistant,Resistant,Yes,,Yes,,Peninsular Zone,,,Nov-Jan
109,2000,Co 87044,Uttara,2000,Midlate,Mid-late (12 months),101.0,18.3,,,Moderately Susceptible,Moderately Resistant,,,,,Peninsular Zone,,,Nov-Jan
110,2000,Co 87263,Sarayu,2000,Early,Early (10 months),66.3,17.4,,,Resistant,Resistant,Yes,,Yes,,North Central Zone,Resistant to early shoot borer,,Feb-March
111,2000,Co 87268,Moti,2000,Early,Early (10 months),78.9,17.5,,,Moderately Resistant,Resistant,Yes,,Yes,,North Central Zone,,,Feb-March
112,2000,Co 91010,Dhanush,2000,Midlate,Mid-late (12 months),116.0,19.1,,,Moderately Susceptible,Resistant,Yes,,,,,Peninsular Zone,,,Nov-Jan
113,2000,CoM 88121,Krishna,2000,Midlate,Mid-late (12 months),88.7,18.6,,,Moderately Susceptible,Resistant,Yes,,,,Excellent,Peninsular Zone,Excellent jaggery quality,,Nov-Jan
114,2000,Co Pant 90223,,2000,Midlate,Mid-late (12 months),73.3,18.5,,,Moderately Resistant,Resistant,Yes,,Yes,Excellent,North West Zone,Tolerant to cold,,Feb-March
115,2000,CoS 1230,Raseeli,2000,Midlate,Mid-late (12 months),68.2,18.8,,,Moderately Resistant,,,,,,North West Zone,Tolerant to top borer/shoot borer/stalk borer,,Feb-March
116,2001,BO 128,Pramod,2001,Midlate,Mid-late (12 months),69.2,17.6,,,Moderately Resistant,Moderately Resistant,,,Yes,,North Central Zone,Tolerant to saline-sodic soil,,Feb-March
117,2001,Co 89029,Gandak,2001,Early,Early (10 months),70.6,16.3,,,Moderately Resistant,,Yes,,Yes,,North Central Zone,Non-flowering/Resistant to top borer and shoot borer,,Feb-March
118,2001,CoH 2201,Haryana-92,2001,Early,Early (10 months),70.0,18.2,,,Moderately Resistant,,,,,,North West Zone,,,Feb-March
119,2001,CoSe 92423,Rajbhog,2001,Midlate,Mid-late (12 months),70.0,17.5,,,Moderately Resistant,,,,,,North Central Zone,,,Feb-March
120,2001,CoSe 95422,Rasbhari,2001,Early,Early (10 months),67.8,17.7,,,Moderately Resistant,,,,,,North Central Zone,,,Feb-March
121,2004,Co 94008,Shyama,2004,Early,Early (10 months),119.8,18.3,,,Moderately Resistant,Resistant,Yes,Yes,,,Good,Peninsular Zone,Good quality jaggery,,Nov-Jan
122,2004,CoS 94270,Sweta,2004,Midlate,Mid-late (12 months),81.5,17.1,,,Moderately Resistant,,,,,Excellent,North West Zone,Tolerant to abiotic stress,,Feb-March
123,2008,CoLK 94184,Birendra,2008,Early,Early (10 months),80.0,17.5,,,,,,,,,Good,North Central Zone,,,Feb-March
