system_index,latitude,longitude,ndvi,region
80,15.662351557444888,74.39124039274161,0.779664,Belagavi
81,15.662351557444888,74.39133022427002,0.7545631,Belagavi
82,15.662351557444888,74.39168955038366,0.6928052,Belagavi
83,15.662351557444888,74.39393533859396,0.58739257,Belagavi
84,15.662351557444888,74.39474382234967,0.4719216,Belagavi
85,15.662351557444888,74.39510314846332,0.4751972,Belagavi
86,15.662351557444888,74.39654045291792,0.5221371,Belagavi
87,15.662351557444888,74.39672011597473,0.48137736,Belagavi
88,15.662351557444888,74.39779809431568,0.46963492,Belagavi
89,15.662351557444888,74.39959472488391,0.4622905,Belagavi
90,15.662351557444888,74.40300832296357,0.7079145,Belagavi
91,15.662351557444888,74.40336764907723,0.6835469,Belagavi
92,15.662351557444888,74.40489478506022,0.6556264,Belagavi
93,15.662351557444888,74.40507444811705,0.65541995,Belagavi
94,15.662351557444888,74.40579310034434,0.61591625,Belagavi
95,15.662351557444888,74.40687107868528,0.57380813,Belagavi
96,15.662351557444888,74.40723040479894,0.5408345,Belagavi
97,15.662351557444888,74.40732023632735,0.5964246,Belagavi
98,15.662351557444888,74.40821855161147,0.6009029,Belagavi
99,15.662351557444888,74.40911686689559,0.47178024,Belagavi
100,15.662351557444888,74.40974568759447,0.51374817,Belagavi
101,15.6624413889733,74.38108943003105,0.76995385,Belagavi
102,15.6624413889733,74.38162841920153,0.73986554,Belagavi
103,15.6624413889733,74.38270639754248,0.7541475,Belagavi
104,15.6624413889733,74.38324538671294,0.76083946,Belagavi
105,15.6624413889733,74.38333521824136,0.7907628,Belagavi
106,15.6624413889733,74.38549117492325,0.7392505,Belagavi
107,15.6624413889733,74.38746746854831,0.70621216,Belagavi
108,15.6624413889733,74.38809628924719,0.703259,Belagavi
109,15.6624413889733,74.38854544688925,0.72720367,Belagavi
110,15.6624413889733,74.38917426758813,0.6832653,Belagavi
111,15.6624413889733,74.3904319089859,0.7418557,Belagavi
112,15.6624413889733,74.39052174051432,0.7574508,Belagavi
113,15.6624413889733,74.39070140357113,0.7975442,Belagavi
114,15.6624413889733,74.39168955038366,0.67446434,Belagavi
115,15.6624413889733,74.39177938191207,0.659513,Belagavi
116,15.6624413889733,74.39294719178143,0.7037336,Belagavi
117,15.6624413889733,74.39321668636667,0.7079968,Belagavi
118,15.6624413889733,74.39411500165079,0.56341815,Belagavi
119,15.6624413889733,74.3942048331792,0.5549631,Belagavi
120,15.6624413889733,74.39465399082125,0.48882034,Belagavi
121,15.6624413889733,74.39474382234967,0.4515748,Belagavi
122,15.6624413889733,74.3949234854065,0.375,Belagavi
123,15.6624413889733,74.39510314846332,0.42256674,Belagavi
124,15.6624413889733,74.39555230610539,0.621364,Belagavi
125,15.6624413889733,74.3957319691622,0.5965332,Belagavi
126,15.6624413889733,74.39591163221903,0.5705288,Belagavi
127,15.6624413889733,74.39654045291792,0.5304221,Belagavi
128,15.6624413889733,74.39663028444632,0.5406977,Belagavi
129,15.6624413889733,74.39770826278726,0.4089884,Belagavi
130,15.6624413889733,74.39860657807138,0.6025431,Belagavi
131,15.6624413889733,74.39887607265662,0.6552419,Belagavi
132,15.6624413889733,74.39923539877027,0.51401484,Belagavi
133,15.6624413889733,74.39950489335551,0.46279144,Belagavi
134,15.6624413889733,74.39995405099756,0.4620969,Belagavi
135,15.6624413889733,74.40013371405439,0.44853443,Belagavi
136,15.6624413889733,74.40130152392375,0.63809526,Belagavi
137,15.6624413889733,74.40336764907723,0.65451056,Belagavi
138,15.6624413889733,74.40552360575911,0.60166466,Belagavi
139,15.6624413889733,74.40570326881593,0.61725926,Belagavi
140,15.6624413889733,74.40660158410004,0.5165094,Belagavi
141,15.6624413889733,74.40705074174211,0.5301611,Belagavi
142,15.6624413889733,74.4077693939694,0.56825656,Belagavi
143,15.6624413889733,74.40794905702623,0.50277656,Belagavi
144,15.6624413889733,74.40875754078193,0.378125,Belagavi
145,15.6624413889733,74.40992535065129,0.6431676,Belagavi
146,15.66253122050171,74.38117926155947,0.79452056,Belagavi
147,15.66253122050171,74.38198774531517,0.73690724,Belagavi
148,15.66253122050171,74.382167408372,0.7773153,Belagavi
149,15.66253122050171,74.38351488129818,0.68022025,Belagavi
150,15.66253122050171,74.38369454435501,0.68526787,Belagavi
151,15.66253122050171,74.38719797396307,0.6921692,Belagavi
152,15.66253122050171,74.38881494147448,0.74880576,Belagavi
153,15.66253122050171,74.39052174051432,0.7516711,Belagavi
154,15.66253122050171,74.39079123509954,0.77322316,Belagavi
155,15.66253122050171,74.3919590449689,0.662206,Belagavi
156,15.66253122050171,74.39213870802573,0.5990757,Belagavi
157,15.66253122050171,74.39240820261097,0.627562,Belagavi
158,15.66253122050171,74.39725910514521,0.481954,Belagavi
159,15.66253122050171,74.39770826278726,0.3744076,Belagavi
160,15.66253122050171,74.39851674654298,0.62611955,Belagavi
161,15.66253122050171,74.3986964095998,0.63598996,Belagavi
162,15.66253122050171,74.39986421946915,0.4333552,Belagavi
163,15.66253122050171,74.40040320863963,0.5444079,Belagavi
164,15.66253122050171,74.40228967073628,0.73434734,Belagavi
165,15.66253122050171,74.40327781754881,0.64993,Belagavi
166,15.66253122050171,74.4047151220034,0.6816261,Belagavi
167,15.66253122050171,74.40534394270229,0.5924637,Belagavi
168,15.66253122050171,74.40579310034434,0.59333986,Belagavi
169,15.66253122050171,74.4062422579864,0.65983605,Belagavi
170,15.66253122050171,74.40669141562846,0.52478045,Belagavi
171,15.66253122050171,74.40875754078193,0.3278589,Belagavi
172,15.662621052030122,74.38019111474694,0.4428773,Belagavi
173,15.662621052030122,74.38037077780376,0.49938434,Belagavi
174,15.662621052030122,74.3813589246163,0.79447347,Belagavi
175,15.662621052030122,74.38270639754248,0.78037137,Belagavi
176,15.662621052030122,74.38315555518453,0.65408933,Belagavi
177,15.662621052030122,74.38486235422435,0.66913474,Belagavi
178,15.662621052030122,74.38629965867895,0.74348617,Belagavi
179,15.662621052030122,74.38683864784942,0.74207187,Belagavi
180,15.662621052030122,74.38872510994607,0.7799353,Belagavi
181,15.662621052030122,74.38881494147448,0.76658523,Belagavi
182,15.662621052030122,74.38926409911655,0.69142646,Belagavi
183,15.662621052030122,74.39007258287225,0.69695824,Belagavi
184,15.662621052030122,74.39070140357113,0.75123006,Belagavi
185,15.662621052030122,74.39142005579843,0.67243737,Belagavi
186,15.662621052030122,74.39375567553714,0.6419811,Belagavi
187,15.662621052030122,74.39447432776444,0.35027224,Belagavi
188,15.662621052030122,74.39474382234967,0.33908045,Belagavi
189,15.662621052030122,74.3957319691622,0.53489816,Belagavi
190,15.662621052030122,74.39609129527585,0.44642106,Belagavi
191,15.662621052030122,74.3964506213895,0.44728634,Belagavi
192,15.662621052030122,74.39734893667362,0.4628866,Belagavi
193,15.662621052030122,74.39743876820204,0.41202027,Belagavi
194,15.662621052030122,74.39914556724186,0.6740088,Belagavi
195,15.662621052030122,74.39950489335551,0.45310014,Belagavi
196,15.662621052030122,74.39968455641232,0.41003516,Belagavi
197,15.662621052030122,74.40004388252598,0.4407491,Belagavi
198,15.662621052030122,74.40049304016804,0.5817832,Belagavi
199,15.662621052030122,74.40112186086692,0.65429187,Belagavi
200,15.662621052030122,74.40354731213405,0.7039312,Belagavi
201,15.662621052030122,74.40498461658864,0.63413507,Belagavi
202,15.662621052030122,74.40525411117387,0.63319147,Belagavi
203,15.662621052030122,74.40588293187275,0.6338656,Belagavi
