State_Name,District_Name,Crop_Year,Season,Area (Hectare),Production (Tonnes),yield (Tonne/Hectare)
Andhra Pradesh,KADAPA,2007,Whole Year,1000.0,82000.0,82.0
Andhra Pradesh,KADAPA,2008,Whole Year,68.0,5100.0,75.0
Andhra Pradesh,KADAPA,2009,Whole Year,140.0,12268.0,87.62857143
Andhra Pradesh,KADAPA,2010,Whole Year,835.0,75413.0,90.31497006
Andhra Pradesh,KADAPA,2011,Whole Year,735.0,59825.0,81.39455782
Andhra Pradesh,KADAPA,2012,Kharif,785.0,59550.0,75.85987261
Andhra Pradesh,KADAPA,2013,Kharif,550.0,35420.0,64.4
Andhra Pradesh,KADAPA,2014,Kharif,373.0,30621.0,82.09383378
Andhra Pradesh,KRISHNA,1997,Kharif,15400.0,1634000.0,106.1038961
Andhra Pradesh,KRISHNA,1998,Whole Year,17300.0,1852600.0,107.0867052
Andhra Pradesh,KRISHNA,1999,Whole Year,15572.0,1825668.0,117.2404315
Andhra Pradesh,KRISHNA,2000,Whole Year,12658.0,1382481.0,109.2179649
Andhra Pradesh,KRISHNA,2001,Whole Year,10690.0,1112198.0,104.0409729
Andhra Pradesh,KRISHNA,2002,Whole Year,15203.0,1535260.0,100.9840163
Andhra Pradesh,KRISHNA,2003,Whole Year,17524.0,1322046.0,75.44202237
Andhra Pradesh,KRISHNA,2004,Whole Year,18699.0,1884261.0,100.768009
Andhra Pradesh,KRISHNA,2005,Whole Year,21680.0,1810150.0,83.49400369
Andhra Pradesh,KRISHNA,2006,Whole Year,21424.0,1958089.0,91.39698469
Andhra Pradesh,KRISHNA,2007,Whole Year,16000.0,1655000.0,103.4375
Andhra Pradesh,KRISHNA,2008,Whole Year,11255.0,1073337.0,95.36534873
Andhra Pradesh,KRISHNA,2009,Whole Year,9494.0,829393.0,87.35970086
Andhra Pradesh,KRISHNA,2010,Whole Year,16144.0,1527716.0,94.63057483
Andhra Pradesh,KRISHNA,2011,Whole Year,16024.0,1621860.0,101.2144284
Andhra Pradesh,KRISHNA,2012,Kharif,15585.0,1373963.0,88.15931986
Andhra Pradesh,KRISHNA,2013,Kharif,16123.0,1447765.0,89.79501333
Andhra Pradesh,KRISHNA,2014,Kharif,16719.0,1400898.0,83.79077696
Andhra Pradesh,KURNOOL,1997,Kharif,100.0,9900.0,99.0
Andhra Pradesh,KURNOOL,1998,Whole Year,200.0,15100.0,75.5
Andhra Pradesh,KURNOOL,1999,Whole Year,176.0,15620.0,88.75
Andhra Pradesh,KURNOOL,2000,Whole Year,47.0,3379.0,71.89361702
Andhra Pradesh,KURNOOL,2001,Whole Year,48.0,4175.0,86.97916667
Andhra Pradesh,KURNOOL,2002,Whole Year,80.0,5906.0,73.825
Andhra Pradesh,KURNOOL,2003,Whole Year,435.0,31537.0,72.49885057
Andhra Pradesh,KURNOOL,2004,Whole Year,393.0,34395.0,87.51908397
Andhra Pradesh,KURNOOL,2005,Whole Year,1817.0,175635.0,96.66208035
Andhra Pradesh,KURNOOL,2006,Whole Year,2246.0,210675.0,93.80008905
Andhra Pradesh,KURNOOL,2007,Whole Year,2000.0,143000.0,71.5
Andhra Pradesh,KURNOOL,2008,Whole Year,1055.0,94785.0,89.8436019
Andhra Pradesh,KURNOOL,2009,Whole Year,1406.0,116158.0,82.61593172
Andhra Pradesh,KURNOOL,2010,Whole Year,1738.0,168912.0,97.18757192
Andhra Pradesh,KURNOOL,2011,Whole Year,985.0,100261.0,101.7878173
Andhra Pradesh,KURNOOL,2012,Kharif,1468.0,138519.0,94.35899183
Andhra Pradesh,KURNOOL,2013,Kharif,751.0,80420.0,107.0838881
Andhra Pradesh,KURNOOL,2014,Kharif,714.0,83391.0,116.7941176
Andhra Pradesh,PRAKASAM,1997,Kharif,400.0,27200.0,68.0
Andhra Pradesh,PRAKASAM,1998,Whole Year,300.0,22600.0,75.33333333
Andhra Pradesh,PRAKASAM,1999,Whole Year,343.0,27265.0,79.48979592
Andhra Pradesh,PRAKASAM,2000,Whole Year,272.0,21836.0,80.27941176
Andhra Pradesh,PRAKASAM,2001,Whole Year,287.0,23462.0,81.74912892
Andhra Pradesh,PRAKASAM,2002,Whole Year,376.0,24440.0,65.0
Andhra Pradesh,PRAKASAM,2003,Whole Year,289.0,20521.0,71.00692042
Andhra Pradesh,PRAKASAM,2004,Whole Year,144.0,10717.0,74.42361111
Andhra Pradesh,PRAKASAM,2005,Whole Year,89.0,6404.0,71.95505618
Andhra Pradesh,PRAKASAM,2006,Whole Year,124.0,9854.0,79.46774194
Andhra Pradesh,PRAKASAM,2008,Whole Year,251.0,20080.0,80.0
Andhra Pradesh,PRAKASAM,2009,Whole Year,144.0,10656.0,74.0
Andhra Pradesh,PRAKASAM,2010,Whole Year,331.0,27142.0,82.0
Andhra Pradesh,PRAKASAM,2011,Whole Year,423.0,34263.0,81.0
Andhra Pradesh,PRAKASAM,2012,Kharif,661.0,50837.0,76.90922844
Andhra Pradesh,PRAKASAM,2013,Kharif,673.0,53132.0,78.94799406
Andhra Pradesh,PRAKASAM,2014,Kharif,900.0,64800.0,72.0
Andhra Pradesh,SPSR NELLORE,1997,Kharif,5700.0,446300.0,78.29824561
Andhra Pradesh,SPSR NELLORE,1998,Whole Year,6100.0,546100.0,89.52459016
Andhra Pradesh,SPSR NELLORE,1999,Whole Year,6562.0,614664.0,93.67022249
Andhra Pradesh,SPSR NELLORE,2000,Whole Year,7872.0,633231.0,80.44092988
Andhra Pradesh,SPSR NELLORE,2001,Whole Year,9842.0,869265.0,88.3219874
Andhra Pradesh,SPSR NELLORE,2002,Whole Year,6986.0,727885.0,104.1919553
Andhra Pradesh,SPSR NELLORE,2003,Whole Year,5694.0,547216.0,96.10396909
Andhra Pradesh,SPSR NELLORE,2004,Whole Year,5521.0,521917.0,94.53305561
Andhra Pradesh,SPSR NELLORE,2005,Whole Year,7790.0,732019.0,93.9690629
Andhra Pradesh,SPSR NELLORE,2006,Whole Year,10395.0,1189593.0,114.438961
Andhra Pradesh,SPSR NELLORE,2007,Whole Year,10000.0,946000.0,94.6
Andhra Pradesh,SPSR NELLORE,2008,Whole Year,7825.0,687108.0,87.80932907
Andhra Pradesh,SPSR NELLORE,2009,Whole Year,4832.0,486932.0,100.772351
Andhra Pradesh,SPSR NELLORE,2010,Whole Year,7172.0,658905.0,91.8718628
Andhra Pradesh,SPSR NELLORE,2011,Whole Year,9061.0,976456.0,107.7647059
Andhra Pradesh,SPSR NELLORE,2012,Kharif,9896.0,972280.0,98.2497979
Andhra Pradesh,SPSR NELLORE,2013,Kharif,7835.0,817711.0,104.3664327
Andhra Pradesh,SPSR NELLORE,2014,Kharif,4002.0,393918.0,98.43028486
Andhra Pradesh,SRIKAKULAM,1997,Kharif,4900.0,341800.0,69.75510204
Andhra Pradesh,SRIKAKULAM,1998,Whole Year,6900.0,478000.0,69.27536232
Andhra Pradesh,SRIKAKULAM,1999,Whole Year,3956.0,320608.0,81.04347826
Andhra Pradesh,SRIKAKULAM,2000,Whole Year,2733.0,207156.0,75.79802415
Andhra Pradesh,SRIKAKULAM,2001,Whole Year,6631.0,540035.0,81.44095913
