state_name,district_name,year,season,area_hectare,yield_t_ha,yield_tons_per_hectare,state,district,yield,ndvi_region,source_region,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,variety,prev_year_yield,yield_3yr_avg,historical_avg_yield
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,54.8,2751.824818,,Andaman And Nicobar Islands,South Andamans,2751.824818,,,,,,,Co 86032,3608.695652,3313.2169683333327,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,58.2,1754.295533,,Andaman And Nicobar Islands,South Andamans,1754.295533,,,,,,,Co 86032,2751.824818,2704.938667666667,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,39.47,561.8697745,,Andaman And Nicobar Islands,South Andamans,561.8697745,,,,,,,Co 86032,1754.295533,1689.3300418333336,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,18.55,1408.355795,,Andaman And Nicobar Islands,South Andamans,1408.355795,,,,,,,Co 86032,561.8697745,1241.5070341666667,1324.5265002921903
Andaman and Nicobar Islands,SOUTH ANDAMANS,,Autumn,23.45,1594.115139,,Andaman And Nicobar Islands,South Andamans,1594.115139,,,,,,,Co 86032,1408.355795,1188.1135695,1324.5265002921903
Andhra Pradesh,ADILABAD,,Whole Year,8.0,8800.0,,Andhra Pradesh,Adilabad,8800.0,,,,,,,Co 86032,,8800.0,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,56.0,7125.0,,Andhra Pradesh,Adilabad,7125.0,,,,,,,Co 86032,8800.0,7962.5,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,121.0,8000.0,,Andhra Pradesh,Adilabad,8000.0,,,,,,,Co 86032,7125.0,7975.0,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,131.0,7200.0,,Andhra Pradesh,Adilabad,7200.0,,,,,,,Co 86032,8000.0,7441.666666666667,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,156.0,8899.358974,,Andhra Pradesh,Adilabad,8899.358974,,,,,,,Co 86032,7200.0,8033.1196580000005,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,566.0,8974.734982,,Andhra Pradesh,Adilabad,8974.734982,,,,,,,Co 86032,8899.358974,8358.031318666666,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,40.0,8500.0,,Andhra Pradesh,Adilabad,8500.0,,,,,,,Co 86032,8974.734982,8791.364652,8125.258650916666
Andhra Pradesh,ADILABAD,,Whole Year,8.0,8400.0,,Andhra Pradesh,Adilabad,8400.0,,,,,,,Co 86032,8500.0,8624.911660666667,8125.258650916666
